Coal_RB_4800_FOB_London_Close_USD,Coal_RB_5500_FOB_London_Close_USD,Coal_RB_5700_FOB_London_Close_USD,Coal_RB_6000_FOB_CurrentWeek_Avg_USD,Coal_India_5500_CFR_London_Close_USD
41.0,53.22,64.7,97.56,60.5
40.34,52.36,63.1,70.57,62.03
40.34,52.36,63.1,70.57,62.03
40.34,52.36,63.1,70.57,62.03
40.34,52.36,63.1,70.57,62.03
33.82,43.58,54.81,59.57,54.74
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
87.95318352059924,113.35315543071162,134.97180711610488,59.57,123.7597097378277
33.82,43.58,54.81,59.57,54.74
33.82,43.58,54.81,59.57,54.74
33.82,43.58,54.81,59.57,54.74
31.49,38.44,51.1,51.7,48.89
31.49,38.44,51.1,51.7,48.89
31.49,38.44,51.1,51.7,48.89
31.49,38.44,51.1,51.7,48.89
31.49,38.44,51.1,51.7,48.89
26.75,34.56,44.69,44.53,41.81
26.75,34.56,44.69,44.53,41.81
26.75,34.56,44.69,44.53,41.81
26.75,34.56,44.69,44.53,41.81
26.75,34.56,44.69,44.53,41.81
30.0,37.97,47.89,49.47,42.99
30.0,37.97,47.89,49.47,42.99
30.0,37.97,47.89,49.47,42.99
30.0,37.97,47.89,49.47,42.99
31.61,40.68,50.66,51.91,45.77
87.95318352059924,113.35315543071162,134.97180711610488,51.91,123.7597097378277
31.61,40.68,50.66,51.91,45.77
31.61,40.68,50.66,51.91,45.77
31.61,40.68,50.66,51.91,45.77
31.61,40.68,50.66,51.91,45.77
32.98,42.39,52.37,53.17,48.75
32.98,42.39,52.37,53.17,48.75
32.98,42.39,52.37,53.17,48.75
32.98,42.39,52.37,53.17,48.75
32.98,42.39,52.37,53.17,48.75
33.86,42.98,52.33,54.93,50.16
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
33.86,42.98,52.33,54.93,50.16
33.86,42.98,52.33,54.93,50.16
33.86,42.98,52.33,54.93,50.16
34.53,43.62,53.26,55.27,50.96
34.53,43.62,53.26,55.27,50.96
34.53,43.62,53.26,55.27,50.96
34.53,43.62,53.26,55.27,50.96
34.53,43.62,53.26,55.27,50.96
36.7,45.35,55.02,59.32,53.47
36.7,45.35,55.02,59.32,53.47
36.7,45.35,55.02,59.32,53.47
36.7,45.35,55.02,59.32,53.47
36.7,45.35,55.02,59.32,53.47
34.1,42.0,51.58,55.34,50.81
34.1,42.0,51.58,55.34,50.81
34.1,42.0,51.58,55.34,50.81
34.1,42.0,51.58,55.34,50.81
34.1,42.0,51.58,55.34,50.81
32.91,40.96,50.86,54.15,51.71
32.91,40.96,50.86,54.15,51.71
32.91,40.96,50.86,54.15,51.71
32.91,40.96,50.86,54.15,51.71
32.91,40.96,50.86,54.15,51.71
32.54,40.3,48.43,50.05,51.45
32.54,40.3,48.43,50.05,51.45
32.54,40.3,48.43,50.05,51.45
32.54,40.3,48.43,50.05,51.45
32.54,40.3,48.43,50.05,51.45
32.61,40.2,49.91,53.15,49.92
32.61,40.2,49.91,53.15,49.92
32.61,40.2,49.91,53.15,49.92
32.61,40.2,49.91,53.15,49.92
32.61,40.2,49.91,53.15,49.92
33.5,40.83,50.12,53.56,51.16
33.5,40.83,50.12,53.56,51.16
33.5,40.83,50.12,53.56,51.16
33.5,40.83,50.12,53.56,51.16
33.5,40.83,50.12,53.56,51.16
33.01,40.43,49.88,54.84,51.88
33.01,40.43,49.88,54.84,51.88
33.01,40.43,49.88,54.84,51.88
33.01,40.43,49.88,54.84,51.88
33.01,40.43,49.88,54.84,51.88
32.56,40.01,49.17,53.33,50.61
32.56,40.01,49.17,53.33,50.61
32.56,40.01,49.17,53.33,50.61
32.56,40.01,49.17,53.33,50.61
32.56,40.01,49.17,53.33,50.61
32.07,39.97,48.83,52.12,49.7
32.07,39.97,48.83,52.12,49.7
32.07,39.97,48.83,52.12,49.7
32.07,39.97,48.83,52.12,49.7
32.07,39.97,48.83,52.12,49.7
33.21,41.52,50.12,54.02,51.84
33.21,41.52,50.12,54.02,51.84
33.21,41.52,50.12,54.02,51.84
33.21,41.52,50.12,54.02,51.84
33.21,41.52,50.12,54.02,51.84
32.24,41.5,49.83,54.21,53.43
32.24,41.5,49.83,54.21,53.43
32.24,41.5,49.83,54.21,53.43
32.24,41.5,49.83,54.21,53.43
32.24,41.5,49.83,54.21,53.43
34.0,44.09,51.33,56.36,54.22
34.0,44.09,51.33,56.36,54.22
34.0,44.09,51.33,56.36,54.22
34.0,44.09,51.33,56.36,54.22
34.0,44.09,51.33,56.36,54.22
33.42,44.2,51.22,55.91,55.28
87.95318352059924,113.35315543071162,134.97180711610488,55.91,123.7597097378277
33.42,44.2,51.22,55.91,55.28
33.42,44.2,51.22,55.91,55.28
33.42,44.2,51.22,55.91,55.28
34.32,45.09,52.71,57.13,56.0
34.32,45.09,52.71,57.13,56.0
34.32,45.09,52.71,57.13,56.0
34.32,45.09,52.71,57.13,56.0
34.32,45.09,52.71,57.13,56.0
33.14,43.56,51.58,55.72,55.52
33.14,43.56,51.58,55.72,55.52
33.14,43.56,51.58,55.72,55.52
33.14,43.56,51.58,55.72,55.52
33.14,43.56,51.58,55.72,55.52
34.18,45.13,53.19,56.18,55.66
34.18,45.13,53.19,56.18,55.66
34.18,45.13,53.19,56.18,55.66
34.18,45.13,53.19,56.18,55.66
34.18,45.13,53.19,56.18,55.66
35.59,48.02,56.57,58.95,59.12
35.59,48.02,56.57,58.95,59.12
35.59,48.02,56.57,58.95,59.12
35.59,48.02,56.57,58.95,59.12
35.59,48.02,56.57,58.95,59.12
35.81,49.65,58.87,61.72,58.67
35.81,49.65,58.87,61.72,58.67
35.81,49.65,58.87,61.72,58.67
35.81,49.65,58.87,61.72,58.67
35.81,49.65,58.87,61.72,58.67
35.33,47.56,56.82,59.93,57.95
35.33,47.56,56.82,59.93,57.95
35.33,47.56,56.82,59.93,57.95
35.33,47.56,56.82,59.93,57.95
35.33,47.56,56.82,59.93,57.95
33.86,45.32,54.61,57.01,56.36
33.86,45.32,54.61,57.01,56.36
33.86,45.32,54.61,57.01,56.36
33.86,45.32,54.61,57.01,56.36
33.86,45.32,54.61,57.01,56.36
34.56,45.67,55.01,57.37,56.1
34.56,45.67,55.01,57.37,56.1
34.56,45.67,55.01,57.37,56.1
34.56,45.67,55.01,57.37,56.1
34.56,45.67,55.01,57.37,56.1
35.11,46.43,55.61,59.71,56.48
35.11,46.43,55.61,59.71,56.48
35.11,46.43,55.61,59.71,56.48
35.11,46.43,55.61,59.71,56.48
35.11,46.43,55.61,59.71,56.48
36.13,47.56,56.76,61.35,57.65
36.13,47.56,56.76,61.35,57.65
36.13,47.56,56.76,61.35,57.65
36.13,47.56,56.76,61.35,57.65
36.13,47.56,56.76,61.35,57.65
38.86,50.86,60.87,67.13,59.33
38.86,50.86,60.87,67.13,59.33
38.86,50.86,60.87,67.13,59.33
38.86,50.86,60.87,67.13,59.33
38.86,50.86,60.87,67.13,59.33
40.1,51.78,62.43,69.79,60.38
40.1,51.78,62.43,69.79,60.38
40.1,51.78,62.43,69.79,60.38
40.1,51.78,62.43,69.79,60.38
40.1,51.78,62.43,69.79,60.38
43.19,55.76,68.39,77.72,66.19
43.19,55.76,68.39,77.72,66.19
43.19,55.76,68.39,77.72,66.19
43.19,55.76,68.39,77.72,66.19
43.19,55.76,68.39,77.72,66.19
44.27,59.58,74.18,81.9,71.19
44.27,59.58,74.18,81.9,71.19
44.27,59.58,74.18,81.9,71.19
44.27,59.58,74.18,81.9,71.19
44.27,59.58,74.18,81.9,71.19
44.95,59.94,74.55,84.49,69.44
44.95,59.94,74.55,84.49,69.44
44.95,59.94,74.55,84.49,69.44
44.95,59.94,74.55,84.49,69.44
44.95,59.94,74.55,84.49,69.44
50.37,66.25,82.07,97.92,74.89
50.37,66.25,82.07,97.92,74.89
50.37,66.25,82.07,97.92,74.89
50.37,66.25,82.07,97.92,74.89
48.79,65.58,81.31,97.4,75.83
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
87.95318352059924,113.35315543071162,134.97180711610488,97.4,123.7597097378277
48.79,65.58,81.31,97.4,75.83
48.79,65.58,81.31,97.4,75.83
47.03,62.38,76.92,91.34,73.43
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
47.03,62.38,76.92,91.34,73.43
47.03,62.38,76.92,91.34,73.43
47.03,62.38,76.92,91.34,73.43
47.03,62.38,76.92,91.34,73.43
46.09,62.53,76.28,87.88,69.63
46.09,62.53,76.28,87.88,69.63
46.09,62.53,76.28,87.88,69.63
46.09,62.53,76.28,87.88,69.63
46.09,62.53,76.28,87.88,69.63
49.78,67.84,81.81,95.54,72.55
49.78,67.84,81.81,95.54,72.55
49.78,67.84,81.81,95.54,72.55
49.78,67.84,81.81,95.54,72.55
49.78,67.84,81.81,95.54,72.55
45.25,62.04,76.72,89.97,72.96
45.25,62.04,76.72,89.97,72.96
45.25,62.04,76.72,89.97,72.96
45.25,62.04,76.72,89.97,72.96
45.25,62.04,76.72,89.97,72.96
45.53,62.85,77.12,87.76,71.34
45.53,62.85,77.12,87.76,71.34
45.53,62.85,77.12,87.76,71.34
45.53,62.85,77.12,87.76,71.34
45.53,62.85,77.12,87.76,71.34
43.02,60.88,74.72,83.95,70.01
43.02,60.88,74.72,83.95,70.01
43.02,60.88,74.72,83.95,70.01
43.02,60.88,74.72,83.95,70.01
43.02,60.88,74.72,83.95,70.01
46.13,64.23,78.89,90.18,73.09
46.13,64.23,78.89,90.18,73.09
46.13,64.23,78.89,90.18,73.09
46.13,64.23,78.89,90.18,73.09
46.13,64.23,78.89,90.18,73.09
45.36,62.33,76.59,89.3,79.0
45.36,62.33,76.59,89.3,79.0
45.36,62.33,76.59,89.3,79.0
45.36,62.33,76.59,89.3,79.0
45.36,62.33,76.59,89.3,79.0
44.5,60.84,75.25,85.6,74.07
44.5,60.84,75.25,85.6,74.07
44.5,60.84,75.25,85.6,74.07
44.5,60.84,75.25,85.6,74.07
44.5,60.84,75.25,85.6,74.07
45.75,62.25,77.27,90.96,76.74
45.75,62.25,77.27,90.96,76.74
45.75,62.25,77.27,90.96,76.74
45.75,62.25,77.27,90.96,76.74
45.75,62.25,77.27,90.96,76.74
45.37,62.48,77.66,91.56,77.04
45.37,62.48,77.66,91.56,77.04
45.37,62.48,77.66,91.56,77.04
45.37,62.48,77.66,91.56,77.04
45.37,62.48,77.66,91.56,77.04
50.48,67.69,83.4,96.48,80.22
50.48,67.69,83.4,96.48,80.22
50.48,67.69,83.4,96.48,80.22
50.48,67.69,83.4,96.48,80.22
50.48,67.69,83.4,96.48,80.22
49.07,72.39,87.65,100.1,81.08
49.07,72.39,87.65,100.1,81.08
49.07,72.39,87.65,100.1,81.08
49.07,72.39,87.65,100.1,81.08
50.24,67.32,82.07,96.6,81.41
87.95318352059924,113.35315543071162,134.97180711610488,144.35149446494464,123.7597097378277
87.95318352059924,113.35315543071162,134.97180711610488,96.6,123.7597097378277
50.24,67.32,82.07,96.6,81.41
50.24,67.32,82.07,96.6,81.41
50.24,67.32,82.07,96.6,81.41
49.82,67.88,82.89,95.95,81.99
49.82,67.88,82.89,95.95,81.99
49.82,67.88,82.89,95.95,81.99
49.82,67.88,82.89,95.95,81.99
49.82,67.88,82.89,95.95,81.99
48.63,65.73,82.91,89.92,78.66
48.63,65.73,82.91,89.92,78.66
48.63,65.73,82.91,89.92,78.66
48.63,65.73,82.91,89.92,78.66
48.63,65.73,82.91,89.92,78.66
48.78,65.6,81.43,90.72,82.38
48.78,65.6,81.43,90.72,82.38
48.78,65.6,81.43,90.72,82.38
48.78,65.6,81.43,90.72,82.38
48.78,65.6,81.43,90.72,82.38
47.25,66.38,81.81,93.14,81.03
87.95318352059924,113.35315543071162,134.97180711610488,93.14,123.7597097378277
47.25,66.38,81.81,93.14,81.03
47.25,66.38,81.81,93.14,81.03
47.25,66.38,81.81,93.14,81.03
52.56,70.27,86.39,100.49,84.03
52.56,70.27,86.39,100.49,84.03
52.56,70.27,86.39,100.49,84.03
52.56,70.27,86.39,100.49,84.03
52.56,70.27,86.39,100.49,84.03
55.17,74.66,93.04,103.85,87.32
55.17,74.66,93.04,103.85,87.32
55.17,74.66,93.04,103.85,87.32
55.17,74.66,93.04,103.85,87.32
55.17,74.66,93.04,103.85,87.32
57.22,76.72,91.69,105.4,88.39
57.22,76.72,91.69,105.4,88.39
57.22,76.72,91.69,105.4,88.39
57.22,76.72,91.69,105.4,88.39
57.22,76.72,91.69,105.4,88.39
59.18,78.6,94.65,112.1,92.26
87.95318352059924,113.35315543071162,134.97180711610488,112.1,123.7597097378277
59.18,78.6,94.65,112.1,92.26
59.18,78.6,94.65,112.1,92.26
59.18,78.6,94.65,112.1,92.26
61.73,82.33,98.66,112.6,96.44
61.73,82.33,98.66,112.6,96.44
61.73,82.33,98.66,112.6,96.44
61.73,82.33,98.66,112.6,96.44
61.73,82.33,98.66,112.6,96.44
66.44,86.03,101.82,117.59,99.19
66.44,86.03,101.82,117.59,99.19
66.44,86.03,101.82,117.59,99.19
66.44,86.03,101.82,117.59,99.19
66.44,86.03,101.82,117.59,99.19
65.54,86.48,103.31,116.28,102.04
65.54,86.48,103.31,116.28,102.04
65.54,86.48,103.31,116.28,102.04
65.54,86.48,103.31,116.28,102.04
65.54,86.48,103.31,116.28,102.04
68.08,87.79,105.41,115.27,103.28
68.08,87.79,105.41,115.27,103.28
68.08,87.79,105.41,115.27,103.28
68.08,87.79,105.41,115.27,103.28
68.08,87.79,105.41,115.27,103.28
69.0,89.18,107.39,115.27,105.45
69.0,89.18,107.39,115.27,105.45
69.0,89.18,107.39,115.27,105.45
69.0,89.18,107.39,115.27,105.45
69.0,89.18,107.39,115.27,105.45
69.59,91.35,108.93,116.79,106.27
69.59,91.35,108.93,116.79,106.27
69.59,91.35,108.93,116.79,106.27
69.59,91.35,108.93,116.79,106.27
69.59,91.35,108.93,116.79,106.27
76.65,98.11,117.78,121.27,111.27
76.65,98.11,117.78,121.27,111.27
76.65,98.11,117.78,121.27,111.27
76.65,98.11,117.78,121.27,111.27
76.65,98.11,117.78,121.27,111.27
81.12,102.56,123.15,129.15,116.25
81.12,102.56,123.15,129.15,116.25
81.12,102.56,123.15,129.15,116.25
81.12,102.56,123.15,129.15,116.25
81.12,102.56,123.15,129.15,116.25
82.0,104.57,125.64,130.15,117.69
82.0,104.57,125.64,130.15,117.69
82.0,104.57,125.64,130.15,117.69
82.0,104.57,125.64,130.15,117.69
82.0,104.57,125.64,130.15,117.69
82.66,104.82,125.73,133.49,120.14
82.66,104.82,125.73,133.49,120.14
82.66,104.82,125.73,133.49,120.14
82.66,104.82,125.73,133.49,120.14
82.66,104.82,125.73,133.49,120.14
87.6,108.79,132.07,137.06,120.16
87.6,108.79,132.07,137.06,120.16
87.6,108.79,132.07,137.06,120.16
87.6,108.79,132.07,137.06,120.16
87.6,108.79,132.07,137.06,120.16
88.46,110.86,133.05,139.82,125.12
88.46,110.86,133.05,139.82,125.12
88.46,110.86,133.05,139.82,125.12
88.46,110.86,133.05,139.82,125.12
88.46,110.86,133.05,139.82,125.12
89.14,113.48,135.76,142.09,126.11
87.95318352059924,113.35315543071162,134.97180711610488,142.09,123.7597097378277
89.14,113.48,135.76,142.09,126.11
89.14,113.48,135.76,142.09,126.11
89.14,113.48,135.76,142.09,126.11
95.79,120.49,144.6,148.85,130.82
95.79,120.49,144.6,148.85,130.82
95.79,120.49,144.6,148.85,130.82
95.79,120.49,144.6,148.85,130.82
95.79,120.49,144.6,148.85,130.82
98.9,124.34,148.35,153.77,135.88
98.9,124.34,148.35,153.77,135.88
98.9,124.34,148.35,153.77,135.88
98.9,124.34,148.35,153.77,135.88
98.9,124.34,148.35,153.77,135.88
100.79,126.75,149.79,158.7,138.5
100.79,126.75,149.79,158.7,138.5
100.79,126.75,149.79,158.7,138.5
100.79,126.75,149.79,158.7,138.5
100.79,126.75,149.79,158.7,138.5
104.18,130.63,156.17,162.24,141.65
104.18,130.63,156.17,162.24,141.65
104.18,130.63,156.17,162.24,141.65
104.18,130.63,156.17,162.24,141.65
104.18,130.63,156.17,162.24,141.65
126.17,155.43,183.7,193.94,160.76
126.17,155.43,183.7,193.94,160.76
